date,run_timestamp,site,engine,clicks
2026-07-17,2026-07-17T02:28:46Z,losangelesinfluence.com,google.com,0
2026-07-17,2026-07-17T02:28:46Z,losangelesinfluence.com,yahoo.com,0
2026-07-17,2026-07-17T02:28:46Z,losangelesinfluence.com,bing.com,0
2026-07-17,2026-07-17T05:45:39Z,losangelesinfluence.com,google.com,0
2026-07-17,2026-07-17T05:45:39Z,losangelesinfluence.com,yahoo.com,0
2026-07-17,2026-07-17T05:45:39Z,losangelesinfluence.com,bing.com,0
2026-07-17,2026-07-17T08:10:22Z,losangelesinfluence.com,google.com,0
2026-07-17,2026-07-17T08:10:22Z,losangelesinfluence.com,yahoo.com,0
2026-07-17,2026-07-17T08:10:22Z,losangelesinfluence.com,bing.com,0
2026-07-17,2026-07-17T10:50:48Z,losangelesinfluence.com,google.com,0
2026-07-17,2026-07-17T10:50:48Z,losangelesinfluence.com,yahoo.com,0
2026-07-17,2026-07-17T10:50:48Z,losangelesinfluence.com,bing.com,0
2026-07-17,2026-07-17T13:26:13Z,losangelesinfluence.com,google.com,0
2026-07-17,2026-07-17T13:26:13Z,losangelesinfluence.com,yahoo.com,0
2026-07-17,2026-07-17T13:26:13Z,losangelesinfluence.com,bing.com,0
