url,slug,post_id,fixed,reason,issues,changes
https://londoninfluencerdaily.com,,,False,No matching WP post,Title long (84) | Meta short (58) | Multiple H1s (5),[]
https://londoninfluencerdaily.com/,,,False,No matching WP post,Title long (84) | Meta short (58) | Multiple H1s (5),[]
https://londoninfluencerdaily.com/page/2/,2,,False,No matching WP post,Title long (99) | Meta short (58) | Multiple H1s (5),[]
https://londoninfluencerdaily.com/feed/,feed,,False,No matching WP post,Title short (23) | Missing meta desc | No H1 | No OG tags | No Schema,[]
https://londoninfluencerdaily.com/comments/feed/,feed,,False,No matching WP post,Missing meta desc | No H1 | No OG tags | No Schema,[]
https://londoninfluencerdaily.com/wp-content/themes/newsophy/assets/fonts/css/fontello.css?ver=5.13.0,fontello.css,,False,No matching WP post,Missing title | Missing meta desc | No H1 | No OG tags | No Schema,[]
https://londoninfluencerdaily.com/wp-content/themes/newsophy/style.css?ver=1.0,style.css,,False,No matching WP post,Missing title | Missing meta desc | No H1 | No OG tags | No Schema,[]
https://londoninfluencerdaily.com/wp-content/themes/newsophy/assets/css/responsive.css?ver=1.0,responsive.css,,False,No matching WP post,Missing title | Missing meta desc | No H1 | No OG tags | No Schema,[]
https://londoninfluencerdaily.com/wp-content/themes/newsophy/assets/css/interlace.css?ver=2.6,interlace.css,,False,No matching WP post,Missing title | Missing meta desc | No H1 | No OG tags | No Schema,[]
https://londoninfluencerdaily.com/wp-content/themes/newsophy/assets/css/amp.scss?ver=1.0,amp.scss,,False,No matching WP post,Missing title | Missing meta desc | No H1 | No OG tags | No Schema,[]
https://londoninfluencerdaily.com/wp-content/plugins/coblocks/dist/style-coblocks-extensions.css?ver=3.1.17,style-coblocks-extensions.css,,False,No matching WP post,Missing title | Missing meta desc | No H1 | No OG tags | No Schema,[]
https://londoninfluencerdaily.com/wp-content/plugins/coblocks/dist/style-coblocks-animation.css?ver=2677611078ee87eb3b1c,style-coblocks-animation.css,,False,No matching WP post,Missing title | Missing meta desc | No H1 | No OG tags | No Schema,[]
https://londoninfluencerdaily.com/wp-content/plugins/co-author/public/css/co-author-public.css?ver=1.0.0,co-author-public.css,,False,No matching WP post,Missing title | Missing meta desc | No H1 | No OG tags | No Schema,[]
https://londoninfluencerdaily.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.6,styles.css,,False,No matching WP post,Missing title | Missing meta desc | No H1 | No OG tags | No Schema,[]
https://londoninfluencerdaily.com/wp-includes/css/buttons.min.css?ver=7.0,buttons.min.css,,False,No matching WP post,Missing title | Missing meta desc | No H1 | No OG tags | No Schema,[]
https://londoninfluencerdaily.com/wp-includes/css/dashicons.min.css?ver=7.0,dashicons.min.css,,False,No matching WP post,Missing title | Missing meta desc | No H1 | No OG tags | No Schema,[]
https://londoninfluencerdaily.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17,mediaelementplayer-legacy.min.css,,False,No matching WP post,Missing title | Missing meta desc | No H1 | No OG tags | No Schema,[]
https://londoninfluencerdaily.com/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=7.0,wp-mediaelement.min.css,,False,No matching WP post,Missing title | Missing meta desc | No H1 | No OG tags | No Schema,[]
https://londoninfluencerdaily.com/wp-includes/css/media-views.min.css?ver=7.0,media-views.min.css,,False,No matching WP post,Missing title | Missing meta desc | No H1 | No OG tags | No Schema,[]
https://londoninfluencerdaily.com/wp-includes/js/imgareaselect/imgareaselect.css?ver=0.9.8,imgareaselect.css,,False,No matching WP post,Missing title | Missing meta desc | No H1 | No OG tags | No Schema,[]
https://londoninfluencerdaily.com/wp-content/plugins/wp-user-profile-avatar/assets/css/frontend.min.css?ver=7.0,frontend.min.css,,False,No matching WP post,Missing title | Missing meta desc | No H1 | No OG tags | No Schema,[]
https://londoninfluencerdaily.com/wp-includes/css/dist/components/style.min.css?ver=7.0,style.min.css,,False,No matching WP post,Missing title | Missing meta desc | No H1 | No OG tags | No Schema,[]
https://londoninfluencerdaily.com/wp-content/plugins/coblocks/includes/Dependencies/GoDaddy/Styles/build/latest.css?ver=2.0.2,latest.css,,False,No matching WP post,Missing title | Missing meta desc | No H1 | No OG tags | No Schema,[]
https://londoninfluencerdaily.com/wp-json/,wp-json,,False,No matching WP post,Missing title | Missing meta desc | No H1 | No OG tags | No Schema,[]
https://londoninfluencerdaily.com/xmlrpc.php?rsd,xmlrpc.php,,False,No matching WP post,Missing title | Missing meta desc | No H1 | No OG tags | No Schema,[]
https://londoninfluencerdaily.com/wp-content/uploads/2024/03/cropped-DALL·E-2024-03-19-12.39.43-Design-a-modern-and-stylish-logo-for-London-Influencer-Daily-that-reflects-Londons-dynamic-and-influential-culture.-The-logo-should-incorporate-ico-32x32.webp,cropped-DALL·E-2024-03-19-12.39.43-Design-a-modern-and-stylish-logo-for-London-Influencer-Daily-that-reflects-Londons-dynamic-and-influential-culture.-The-logo-should-incorporate-ico-32x32.webp,,False,No matching WP post,Missing title | Missing meta desc | No H1 | No OG tags | No Schema,[]
https://londoninfluencerdaily.com/wp-content/uploads/2024/03/cropped-DALL·E-2024-03-19-12.39.43-Design-a-modern-and-stylish-logo-for-London-Influencer-Daily-that-reflects-Londons-dynamic-and-influential-culture.-The-logo-should-incorporate-ico-192x192.webp,cropped-DALL·E-2024-03-19-12.39.43-Design-a-modern-and-stylish-logo-for-London-Influencer-Daily-that-reflects-Londons-dynamic-and-influential-culture.-The-logo-should-incorporate-ico-192x192.webp,,False,No matching WP post,Missing title | Missing meta desc | No H1 | No OG tags | No Schema,[]
https://londoninfluencerdaily.com/wp-content/uploads/2024/03/cropped-DALL·E-2024-03-19-12.39.43-Design-a-modern-and-stylish-logo-for-London-Influencer-Daily-that-reflects-Londons-dynamic-and-influential-culture.-The-logo-should-incorporate-ico-180x180.webp,cropped-DALL·E-2024-03-19-12.39.43-Design-a-modern-and-stylish-logo-for-London-Influencer-Daily-that-reflects-Londons-dynamic-and-influential-culture.-The-logo-should-incorporate-ico-180x180.webp,,False,No matching WP post,Missing title | Missing meta desc | No H1 | No OG tags | No Schema,[]
https://londoninfluencerdaily.com/tag/blogging/,blogging,,False,No matching WP post,Missing meta desc,[]
https://londoninfluencerdaily.com/tag/city/,city,,False,No matching WP post,Missing meta desc,[]
https://londoninfluencerdaily.com/tag/gadget/,gadget,,False,No matching WP post,Missing meta desc,[]
https://londoninfluencerdaily.com/tag/guide/,guide,,False,No matching WP post,Missing meta desc,[]
https://londoninfluencerdaily.com/tag/life/,life,,False,No matching WP post,Missing meta desc,[]
https://londoninfluencerdaily.com/tag/modern/,modern,,False,No matching WP post,Missing meta desc,[]
