date,run_timestamp,site,engine,clicks
2026-05-16,2026-05-16T02:49:18Z,newyorkluxurymag.com,google.com,8
2026-05-16,2026-05-16T02:49:18Z,newyorkluxurymag.com,yahoo.com,0
2026-05-16,2026-05-16T02:49:18Z,newyorkluxurymag.com,bing.com,0
2026-05-16,2026-05-16T06:03:40Z,newyorkluxurymag.com,google.com,8
2026-05-16,2026-05-16T06:03:40Z,newyorkluxurymag.com,yahoo.com,0
2026-05-16,2026-05-16T06:03:40Z,newyorkluxurymag.com,bing.com,0
2026-05-16,2026-05-16T08:09:42Z,newyorkluxurymag.com,google.com,8
2026-05-16,2026-05-16T08:09:42Z,newyorkluxurymag.com,yahoo.com,0
2026-05-16,2026-05-16T08:09:42Z,newyorkluxurymag.com,bing.com,0
2026-05-16,2026-05-16T10:23:18Z,newyorkluxurymag.com,google.com,8
2026-05-16,2026-05-16T10:23:18Z,newyorkluxurymag.com,yahoo.com,0
2026-05-16,2026-05-16T10:23:18Z,newyorkluxurymag.com,bing.com,0
2026-05-16,2026-05-16T13:26:58Z,newyorkluxurymag.com,google.com,8
2026-05-16,2026-05-16T13:26:58Z,newyorkluxurymag.com,yahoo.com,0
2026-05-16,2026-05-16T13:26:58Z,newyorkluxurymag.com,bing.com,0
2026-05-16,2026-05-16T16:07:23Z,newyorkluxurymag.com,google.com,8
2026-05-16,2026-05-16T16:07:23Z,newyorkluxurymag.com,yahoo.com,0
2026-05-16,2026-05-16T16:07:23Z,newyorkluxurymag.com,bing.com,0
2026-05-16,2026-05-16T19:11:01Z,newyorkluxurymag.com,google.com,8
2026-05-16,2026-05-16T19:11:01Z,newyorkluxurymag.com,yahoo.com,0
2026-05-16,2026-05-16T19:11:01Z,newyorkluxurymag.com,bing.com,0
